"id";"user_id";"judul";"kategori_id";"deskripsi";"jumlah";"file";"cover";"created_at";"updated_at"
"99b8c3bb-eb4e-4d80-b385-5bc49df5e9cf";"99b8c1d2-6473-4c00-b29a-9db3351d3243";"Poderosa";"99b8c0da-8d6e-4de8-99cd-bc980a7ce277";"Juana Rosalia sueña con ser escritora. No duda en convertir la ficción en realidad, el problema es que cada nota provoca situaciones imprevistas. Esta novela toca inquietudes de los adolescentes: el amor, la sexualidad, los tatuajes, a la vez que reflexio";"4";"Poderosa.pdf";"Poderosa.jpg";"2023-07-24 08:46:09";"2023-07-24 08:46:09"
"99b8c4eb-df5c-4900-a9da-ca508fd993ad";"99b8c1d2-6473-4c00-b29a-9db3351d3243";"WINNIE EN LA PLAYA";"99b46cb7-6c26-42b9-91a1-514dfbd1aece";"Winnie decides she needs a seaside break, so she and Wilbur zoom off to the coast. Winnie makes a beeline for the sea to cool down. Wilbur makes a beeline for anywhere other than the sea-he hates water, and can't bear getting wet. Winnie is having so much";"3";"WINNIE EN LA PLAYA.pdf";"WINNIE EN LA PLAYA.jpg";"2023-07-24 08:49:28";"2023-07-24 08:49:28"
"99b8d2e8-e0c8-4f31-9d05-dca3a552ebc4";"99b8c1d2-6473-4c00-b29a-9db3351d3243";"Lovely Bones";"99b8c0da-8d6e-4de8-99cd-bc980a7ce277";"After being tricked,raped and murdered 14 year old Susie Salmon watches from heaven how her friends are exchanging rumours about her disappearance, her grief stricken family is trying to move on and how her killer is trying to cover his tracks.";"124";"Lovely Bones.pdf";"Lovely Bones.jpg";"2023-07-24 09:28:35";"2023-07-24 17:13:00"
"99b8e41c-1a60-4cb1-ae3f-65203b98f353";"99b46cb7-62c1-4ba9-8df1-3f6a26d5a833";"The hand but not the heart";"99b8c0da-8d6e-4de8-99cd-bc980a7ce277";"""""PAUL!"" The young man started, and a delicate flush mantled his handsome face, as he turned to the lady who had pronounced his name in a tone slightly indicative of surprise.""";"43";"The hand but not the heart.pdf";"The hand but not the heart.jpg";"2023-07-24 10:16:40";"2023-07-24 17:17:44"
"99b8e521-c63c-4478-aede-06d765172178";"99b46cb7-62c1-4ba9-8df1-3f6a26d5a833";"Wonder";"99b46cb7-6c26-42b9-91a1-514dfbd1aece";"Wonder is a children's novel written by R. J. Palacio,[2] published on 14 February 2012.

R. J. Palacio wrote Wonder after an incident where her son noticed a girl with a severe facial difference and started to cry. Fearing he would react badly, Palacio";"81";"Wonder.pdf";"Wonder.jpg";"2023-07-24 10:19:32";"2023-07-24 10:19:32"
"99b8e606-5ba4-414a-ad4c-d9e111c15799";"99b46cb7-62c1-4ba9-8df1-3f6a26d5a833";"The Highwayman";"99b8c0da-8d6e-4de8-99cd-bc980a7ce277";"The Highwayman is a 2004 novel by R.A. Salvatore set in his world of Corona, as made famous in his DemonWars Saga. The Highwayman tells the story of a young crippled boy named Bransen Garibond. The orphaned son of the Jhesta Tu mystic Sen Wi and the Abell";"6";"The Highwayman.pdf";"The Highwayman.jpg";"2023-07-24 10:22:02";"2023-07-24 10:22:02"
"99b8e6ad-d027-4ebb-9850-3c557687d679";"99b46cb7-62c1-4ba9-8df1-3f6a26d5a833";"Lost to the Desert Warrior";"99b46cb7-7900-48fe-a08c-b93b458fc240";"""Walking into the lion's den unprotected, Princess?""

For Layla, princess of Tazkhan, her arranged marriage means one thing—a lifetime of cruelty and captivity. Such an unendurable prospect drives her to throw herself at the mercy of Sheikh Raz Al Zahki";"25";"Lost to the Desert Warrior.pdf";"Lost to the Desert Warrior.jpg";"2023-07-24 10:23:51";"2023-07-24 10:23:51"
"99b8e7d1-f368-4cae-9a74-53aa6c4c8555";"99b46cb7-5ec9-4b56-bee7-7f8ba62ca27e";"Simple Gifts";"99b46cb7-72d1-48a8-a8ab-931fd5186112";"Bestselling authors Jude Deveraux and Judith McNaught present their most dazzling and wonderful Christmas tales -- the perfect treat for every romantic at heart...
Jude Deveraux In the snow-covered hills of Virginia, a young widow finds that miracles rea";"20";"Simple Gifts.pdf";"Simple Gifts.jpg";"2023-07-24 10:27:03";"2023-07-24 10:27:03"
"99b8e850-d270-429c-ac85-3322924c38a8";"99b46cb7-5ec9-4b56-bee7-7f8ba62ca27e";"Steve Jobs";"99b46cb7-7900-48fe-a08c-b93b458fc240";"""From the author of the bestselling biographies of Benjamin Franklin and Albert Einstein, this is the exclusive biography of Steve Jobs. Based on more than forty interviews with Jobs conducted over two years--as well as interviews with more than a hundred";"320";"Steve Jobs.pdf";"Steve Jobs.jpg";"2023-07-24 10:28:26";"2023-07-24 10:28:26"
"99b8e894-eff9-426b-b351-9374da5fa76d";"99b46cb7-5ec9-4b56-bee7-7f8ba62ca27e";"Elon Musk";"99b46cb7-7900-48fe-a08c-b93b458fc240";"In the spirit of Steve Jobs and Moneyball, Elon Musk is both an illuminating and authorized look at the extraordinary life of one of Silicon Valley's most exciting, unpredictable, and ambitious entrepreneurs -- a real-life Tony Stark -- and a fascinating ";"402";"Elon Musk.pdf";"Elon Musk.jpg";"2023-07-24 10:29:11";"2023-07-24 10:29:11"
"99b8e96c-5fbd-46d3-bb25-04e67052a80d";"99b46cb7-5cde-4795-8471-bfc82632cdcf";"From Barbie to Mortal Kombat";"99b46cb7-6ee6-4351-aa78-0b639101e71a";"An edition of From Barbie to Mortal Kombat";"3";"From Barbie to Mortal Kombat.pdf";"From Barbie to Mortal Kombat.jpg";"2023-07-24 10:31:32";"2023-07-24 10:31:32"
"99b8e9fb-fa27-48c5-a238-81fde91c3486";"99b46cb7-5cde-4795-8471-bfc82632cdcf";"Peppa Pig";"99b46cb7-6ee6-4351-aa78-0b639101e71a";"An edition of Peppa Pig and the Vegetable Garden (2014)";"12";"Peppa Pig.pdf";"Peppa Pig.jpg";"2023-07-24 10:33:06";"2023-07-24 10:33:06"
"99b8ea8c-3e9d-4a68-ab94-079ec041bc0e";"99b46cb7-5cde-4795-8471-bfc82632cdcf";"Let the Storm Break";"99b4eb12-246d-42ed-aa63-cdcc6ce7c7f7";"While teenaged Vane discovers more of what it means to be a windwalker and his guardian sylph Audra struggles with her deepest desires, both must band together to face greater challenges than they have ever known.";"12";"Let the Storm Break.pdf";"Let the Storm Break.jpg";"2023-07-24 10:34:40";"2023-07-24 10:34:40"
